id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,budget
16259787,Private and comfortable room in Upper West Side,40277743,Francisca,Manhattan,Morningside Heights,40.80722,-73.95924000000001,Private room,68,5,0,,,1,0,Average
16367772,Cute room near Columbia University,38679669,Mary,Manhattan,Morningside Heights,40.80324,-73.96432,Private room,65,4,0,,,1,0,Average
16415365,Private cozy room close to Columbia University,8594019,Jose Vicente,Manhattan,Morningside Heights,40.81626,-73.96035,Private room,50,3,5,2017-09-02,0.18,2,0,Average
16454164,Beautiful and Quiet Morningside Heights 1BR,19659393,Cathy,Manhattan,Morningside Heights,40.80826,-73.96499,Entire home/apt,105,2,1,2017-01-02,0.03,1,0,Average
16481602,Nice one bedroom apartment,85002860,Manuel,Manhattan,Morningside Heights,40.81387,-73.96205,Entire home/apt,110,10,0,,,1,0,Average
16496715,Sunny and Cozy Bedroom near Columbia University,11084524,Ruby,Manhattan,Morningside Heights,40.804390000000005,-73.96263,Private room,50,3,0,,,1,0,Average
16804336,"Michael's Cozy Studio Central Park, Subway 1,A B C",47062032,Michael,Manhattan,Morningside Heights,40.804320000000004,-73.96694000000001,Entire home/apt,130,2,56,2018-01-15,1.9,1,0,Average
16916510,Cozy Room near Columbia University,11523011,Tiara,Manhattan,Morningside Heights,40.80766,-73.96594,Private room,60,30,7,2018-07-10,0.27,2,246,Average
17008022,1 Bedroom near Columbia University,24270606,Devin,Manhattan,Morningside Heights,40.81037,-73.95833,Private room,100,5,32,2018-10-24,1.2,1,0,Average
17129825,Fully furnished room on 110th St Broadway for rent,39091267,Ankit,Manhattan,Morningside Heights,40.80437,-73.96387,Shared room,35,1,0,,,1,0,Average
17141182,"Private, Clean, 1.5 Bedroom Apt",114157738,Alyssa,Manhattan,Morningside Heights,40.80338,-73.9636,Entire home/apt,100,1,19,2018-02-15,0.66,1,0,Average
17255171,An Oasis in the Big Apple,40032009,Arianna,Manhattan,Morningside Heights,40.80387,-73.96367,Entire home/apt,200,5,2,2017-03-14,0.07,2,0,Average
17366042,An Oasis in the Big Apple,40032009,Arianna,Manhattan,Morningside Heights,40.803909999999995,-73.96576,Entire home/apt,140,5,0,,,2,0,Average
17480275,Private Room near Columbia University,115227524,Pablo,Manhattan,Morningside Heights,40.81638,-73.95936999999999,Private room,70,28,0,,,1,0,Average
17684098,Spacious Uptown Apartment near Columbia University,19884477,Marine,Manhattan,Morningside Heights,40.80935,-73.95786,Entire home/apt,139,1,77,2018-12-17,2.79,1,0,Average
17848298,Quiet Home in Manhattan,9871522,Adam,Manhattan,Morningside Heights,40.81473,-73.96217,Entire home/apt,140,2,2,2018-05-07,0.14,1,0,Average
17907935,New York's Cozy House,77809736,Seohee,Manhattan,Morningside Heights,40.80972,-73.95774,Entire home/apt,95,2,0,,,2,0,Average
18005542,Single Room in Family Apt,6122006,Allison,Manhattan,Morningside Heights,40.81131,-73.9582,Private room,45,1,76,2019-06-09,2.83,2,0,Average
18170615,Private room/Columbia/Central park,75810157,Antong,Manhattan,Morningside Heights,40.804159999999996,-73.96538000000001,Private room,99,4,3,2017-06-29,0.11,1,0,Average
18252876,Charming Spacious Studio in UWS with balcony,60022283,Audrey,Manhattan,Morningside Heights,40.80507,-73.96414,Entire home/apt,116,3,16,2019-05-25,0.61,1,0,Average
18290841,"Clean, Chic, Modern Studio in UWS",33608519,Grace,Manhattan,Morningside Heights,40.8058,-73.9652,Entire home/apt,145,1,0,,,1,0,Average
18309354,"Spacious Private Room In New York, Manhattan",55778523,Lydia,Manhattan,Morningside Heights,40.804559999999995,-73.96521,Private room,125,1,4,2017-05-22,0.15,1,0,Average
18356695,Spacious 2-Bedroom Apartment Near Central Park,5143286,Ewa,Manhattan,Morningside Heights,40.80897,-73.95651,Entire home/apt,120,14,5,2018-08-23,0.21,1,79,Average
18471815,Cozy Corner,42951693,Kevin,Manhattan,Morningside Heights,40.8151,-73.96091,Private room,43,2,0,,,1,0,Average
18484597,Private and quiet room near Columbia University,8594019,Jose Vicente,Manhattan,Morningside Heights,40.81651,-73.95924000000001,Private room,50,5,1,2017-05-23,0.04,2,0,Average
18518678,"Dreamy, sun-filled South Harlem 1 bed!",371654,Emily,Manhattan,Morningside Heights,40.802640000000004,-73.95921,Private room,175,5,2,2017-06-10,0.08,1,0,Average
18612291,Private One Bedroom,16140828,Pedro,Manhattan,Morningside Heights,40.808640000000004,-73.95913,Private room,65,4,0,,,1,0,Average
18636030,"Cozy, private room in Morningside Heights",87680800,Mahnoor,Manhattan,Morningside Heights,40.81368,-73.95919,Private room,50,1,0,,,1,0,Average
18647217,Cozy Contemporary Couch by Central Park,128531725,Shia,Manhattan,Morningside Heights,40.80387,-73.95853000000001,Private room,55,3,103,2019-06-17,3.93,2,18,Average
18680331,1 bedroom apartment in Morningside Heights!,71515912,Mili,Manhattan,Morningside Heights,40.80546,-73.96547,Entire home/apt,145,7,2,2018-01-21,0.08,1,0,Average
18768978,"Clean, Spacious Room on Upper West Side",27582777,Sean,Manhattan,Morningside Heights,40.803709999999995,-73.96324,Private room,70,3,16,2018-11-27,0.7,1,0,Average
